Time	X	Z
0	1.885	3.718
0.1	1.885	3.718
0.2	1.885	3.718
0.3	1.885	3.718
0.4	1.885	3.718
0.5	1.885	3.718
0.6	1.885	3.718
0.7	1.885	3.718
0.8	1.885	3.718
0.9	1.885	3.718
1	1.885	3.718
1.1	1.885	3.718
1.2	1.885	3.718
1.3	1.885	3.718
1.4	1.885	3.718
1.5	1.885	3.718
1.6	1.885	3.718
1.7	1.885	3.718
1.8	1.885	3.718
1.9	1.885	3.718
2	1.885	3.718
2.1	1.885	3.718
2.2	1.885	3.718
2.3	1.885	3.718
2.4	1.885	3.718
2.5	1.885	3.718
2.6	1.885	3.718
2.7	1.885	3.718
2.8	1.885	3.718
2.9	1.885	3.718
3	1.885	3.718
3.1	1.885	3.718
3.2	1.885	3.718
3.3	1.885	3.718
3.4	1.885	3.718
3.5	1.885	3.718
3.6	1.885	3.718
3.7	1.885	3.718
3.8	1.885	3.718
3.9	1.885	3.718
4	1.885	3.718
4.1	1.885	3.718
4.2	1.885	3.718
4.3	1.885	3.718
4.4	1.885	3.718
4.5	1.885	3.718
4.6	1.885	3.718
4.7	1.885	3.718
4.8	1.885	3.718
4.9	1.885	3.718
5	1.888	3.718
5.1	1.901	3.718
5.2	1.929	3.717
