Time	Velocity
0	0
0.1	0.03
0.2	0.13
0.3	0.29
0.4	0.48
0.5	0.7
0.6	0.91
0.7	1.11
0.8	1.26
0.9	1.36
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.36
1.6	1.25
1.7	1.09
1.8	0.89
1.9	0.68
2	0.46
2.1	0.27
2.2	0.12
2.3	0.03
0	0
0.1	-0.31
0.2	-0.96
0.3	-1.37
0.4	-1.21
0.5	-0.58
0	0
0.1	-0.31
0.2	-0.89
0.3	-1.37
0.4	-1.21
0.5	-0.58
0	0
0.1	-0.25
0.2	-0.89
0.3	-1.37
0.4	-1.26
0.5	-0.59
0	0
0.1	-0.25
0.2	-0.96
0.3	-1.37
0.4	-1.26
0.5	-0.65
0	0
0.1	-0.25
0.2	-0.9
0.3	-1.37
0.4	-1.26
0.5	-0.58
0	0
0.1	-0.31
0.2	-0.96
0.3	-1.38
0.4	-1.26
0.5	-0.59
0	0
0.1	-0.31
0.2	-0.96
0.3	-1.37
0.4	-1.21
0.5	-0.66
0	0
0.1	-0.25
0.2	-0.89
0.3	-1.39
0.4	-1.25
0.5	-0.65
0	0
0.1	-0.25
0.2	-0.89
0.3	-1.37
0.4	-1.26
0.5	-0.66
0	0
0.1	-0.37
0.2	-1.05
0.3	-1.5
0.4	-1.2
0	0
0.1	-0.43
0.2	-1.38
0.3	-1.67
0.4	-0.95
0	0
0.1	-0.31
0.2	-1.03
0.3	-1.2
0.4	-1.18
0.5	-0.68
0	0
0.1	-0.31
0.2	-1.03
0.3	-1.2
0.4	-1.18
0.5	-0.67
0	0
0.1	-0.31
0.2	-1.03
0.3	-1.2
0.4	-1.18
0.5	-0.75
0	0
0.1	-0.5
0.2	-1.3
0.3	-1.57
0.4	-0.89
0	0
0.1	-0.38
0.2	-1.29
0.3	-1.5
0.4	-1.03
0	0
0.1	-0.59
0.2	-1.79
0.3	-1.55
0	0
0.1	-0.68
0.2	-1.88
0.3	-1.47
0	0
0.1	-0.68
0.2	-1.94
0.3	-1.6
0	0
0.1	-0.82
0.2	-1.94
0.3	-1.46
0	0
0.1	-0.68
0.2	-1.88
0.3	-1.48
0	0
0.1	-0.83
0.2	-1.94
0.3	-1.47
0	0
0.1	-0.61
0.2	-1.75
0.3	-1.63
0	0
0.1	-0.66
0.2	-1.55
0.3	-1.56
0.4	-0.81
0	0
0.1	-0.61
0.2	-1.45
0.3	-1.49
0.4	-0.88
0	0
0.1	-0.53
0.2	-1.22
0.3	-1.3
0.4	-1.11
0	0
0.1	-0.34
0.2	-0.94
0.3	-1
0.4	-1
0.5	-0.86
0	0
0.1	-0.37
0.2	-0.85
0.3	-0.9
0.4	-0.9
0.5	-0.9
0.6	-0.59
0	0
0.1	-0.41
0.2	-0.97
0.3	-1
0.4	-1
0.5	-0.86
0	0
0.1	-0.41
0.2	-0.97
0.3	-1
0.4	-1
0.5	-0.91
0	0
0.1	-0.33
0.2	-0.78
0.3	-0.8
0.4	-0.8
0.5	-0.8
0.6	-0.76
0	0
0.1	-0.33
0.2	-0.78
0.3	-0.8
0.4	-0.8
0.5	-0.8
0.6	-0.76
0	0
0.1	-0.33
0.2	-0.75
0.3	-0.8
0.4	-0.8
0.5	-0.8
0.6	-0.76
0	0
0.1	-0.25
0.2	-0.58
0.3	-0.6
0.4	-0.6
0.5	-0.6
0.6	-0.6
0.7	-0.6
0.8	-0.57
0	0
0.1	-0.17
0.2	-0.48
0.3	-0.5
0.4	-0.5
0.5	-0.5
0.6	-0.5
0.7	-0.5
0.8	-0.5
0.9	-0.5
0	0
0.1	-0.17
0.2	-0.47
0.3	-0.5
0.4	-0.5
0.5	-0.5
