Time	Velocity
0	0
0.1	0.03
0.2	0.13
0.3	0.29
0.4	0.48
0.5	0.7
0.6	0.91
0.7	1.11
0.8	1.26
0.9	1.36
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.37
1.5	1.28
1.6	1.13
1.7	0.94
1.8	0.73
1.9	0.51
2	0.31
2.1	0.15
2.2	0.04
0	0
0.1	-0.09
0.2	-0.41
0.3	-0.8
0.4	-1.12
0.5	-1.36
0.6	-1.38
0.7	-1.14
0.8	-0.78
0.9	-0.39
0	0
0.1	-0.11
0.2	-0.41
0.3	-0.8
0.4	-1.16
0.5	-1.37
0.6	-1.38
0.7	-1.17
0.8	-0.82
0.9	-0.43
0	0
0.1	-0.31
0.2	-0.97
0.3	-1.71
0.4	-2
0.5	-1.68
0.6	-0.85
0	0
0.1	-0.31
0.2	-1.06
0.3	-1.71
0.4	-2
0.5	-1.62
0.6	-0.85
0	0
0.1	-0.28
0.2	-0.87
0.3	-1.59
0.4	-1.8
0.5	-1.63
0.6	-1.01
0.7	-0.33
0	0
0.1	-0.23
0.2	-0.87
0.3	-1.59
0.4	-1.8
0.5	-1.67
0.6	-1.02
0.7	-0.39
0	0
0.1	-0.23
0.2	-0.95
0.3	-1.53
0.4	-1.8
0.5	-1.67
0.6	-1.17
0	0
0.1	-0.24
0.2	-0.93
0.3	-1.62
0.4	-1.9
0.5	-1.66
0.6	-0.89
