Time	X	Z
0	7.63	2.112
0.1	7.63	2.112
0.2	7.63	2.111
0.3	7.63	2.111
0.4	7.63	2.111
0.5	7.63	2.111
0.6	7.63	2.111
0.7	7.63	2.111
0.8	7.63	2.111
0.9	7.63	2.111
1	7.63	2.111
1.1	7.63	2.111
1.2	7.63	2.111
1.3	7.63	2.111
1.4	7.63	2.111
1.5	7.63	2.111
1.6	7.63	2.111
1.7	7.63	2.111
1.8	7.63	2.111
1.9	7.63	2.111
2	7.63	2.111
2.1	7.63	2.111
2.2	7.63	2.111
2.3	7.63	2.111
2.4	7.63	2.111
2.5	7.63	2.111
2.6	7.63	2.111
2.7	7.63	2.111
2.8	7.63	2.111
2.9	7.63	2.111
3	7.63	2.111
3.1	7.63	2.111
3.2	7.63	2.111
3.3	7.63	2.111
3.4	7.63	2.111
3.5	7.63	2.111
3.6	7.63	2.111
3.7	7.63	2.111
3.8	7.63	2.111
3.9	7.63	2.111
4	7.63	2.111
4.1	7.63	2.111
4.2	7.63	2.111
4.3	7.63	2.111
4.4	7.63	2.111
4.5	7.63	2.111
4.6	7.63	2.111
4.7	7.63	2.111
4.8	7.63	2.111
4.9	7.63	2.111
5	7.63	2.111
5.1	7.63	2.111
5.2	7.63	2.111
5.3	7.63	2.11
5.4	7.63	2.111
5.5	7.63	2.11
5.6	7.63	2.11
5.7	7.63	2.111
5.8	7.63	2.11
5.9	7.63	2.111
6	7.63	2.111
6.1	7.63	2.111
6.2	7.63	2.111
6.3	7.63	2.111
6.4	7.63	2.111
6.5	7.63	2.111
6.6	7.63	2.111
6.7	7.63	2.111
6.8	7.63	2.111
6.9	7.63	2.111
7	7.63	2.111
7.1	7.63	2.111
7.2	7.63	2.11
7.3	7.63	2.11
7.4	7.63	2.11
7.5	7.63	2.111
7.6	7.63	2.11
7.7	7.63	2.11
7.8	7.63	2.11
7.9	7.63	2.11
8	7.63	2.11
8.1	7.63	2.11
8.2	7.63	2.111
8.3	7.63	2.111
8.4	7.63	2.111
8.5	7.63	2.111
8.6	7.63	2.111
8.7	7.63	2.11
8.8	7.63	2.111
8.9	7.63	2.111
9	7.63	2.111
9.1	7.63	2.111
9.2	7.63	2.111
9.3	7.63	2.11
9.4	7.63	2.111
9.5	7.63	2.111
9.6	7.63	2.111
9.7	7.63	2.111
9.8	7.63	2.11
9.9	7.63	2.11
10	7.63	2.11
10.1	7.63	2.11
10.2	7.63	2.111
10.3	7.63	2.11
10.4	7.63	2.11
10.5	7.63	2.11
10.6	7.63	2.111
10.7	7.63	2.111
10.8	7.63	2.111
10.9	7.63	2.111
11	7.63	2.111
11.1	7.63	2.111
11.2	7.63	2.11
11.3	7.63	2.111
11.4	7.63	2.111
11.5	7.63	2.111
11.6	7.63	2.111
11.7	7.63	2.11
11.8	7.63	2.111
11.9	7.63	2.11
12	7.63	2.111
12.1	7.63	2.11
12.2	7.63	2.111
12.3	7.63	2.111
12.4	7.63	2.11
12.5	7.63	2.111
12.6	7.63	2.111
12.7	7.63	2.11
12.8	7.63	2.111
12.9	7.63	2.111
13	7.63	2.111
13.1	7.63	2.11
13.2	7.63	2.111
13.3	7.63	2.11
13.4	7.63	2.111
13.5	7.63	2.111
13.6	7.63	2.111
13.7	7.63	2.111
13.8	7.63	2.111
13.9	7.63	2.111
14	7.63	2.111
14.1	7.63	2.111
14.2	7.63	2.111
14.3	7.63	2.111
14.4	7.63	2.111
14.5	7.63	2.111
14.6	7.63	2.111
14.7	7.63	2.111
14.8	7.63	2.111
14.9	7.63	2.111
15	7.63	2.11
15.1	7.63	2.111
15.2	7.63	2.111
15.3	7.63	2.111
15.4	7.63	2.11
15.5	7.63	2.111
15.6	7.63	2.111
15.7	7.63	2.111
15.8	7.63	2.111
15.9	7.63	2.11
16	7.63	2.111
16.1	7.63	2.11
16.2	7.63	2.111
16.3	7.63	2.111
16.4	7.63	2.111
16.5	7.63	2.111
16.6	7.63	2.111
16.7	7.63	2.111
16.8	7.631	2.113
16.9	7.631	2.112
17	7.631	2.112
17.1	7.631	2.112
