Time	Velocity
0	0
0.1	0.03
0.2	0.13
0.3	0.29
0.4	0.48
0.5	0.7
0.6	0.91
0.7	1.11
0.8	1.26
0.9	1.36
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.39
1.6	1.32
1.7	1.19
1.8	1.01
1.9	0.8
2	0.58
2.1	0.37
2.2	0.2
2.3	0.07
2.4	0.01
0	0
0.1	-0.33
0.2	-0.94
0.3	-1.4
0.4	-1.13
0	0
0.1	-0.27
0.2	-0.94
0.3	-1.39
0.4	-1.19
0	0
0.1	-0.33
0.2	-1.01
0.3	-1.4
0.4	-1.14
0	0
0.1	-0.33
0.2	-1.01
0.3	-1.4
0.4	-1.14
0	0
0.1	-0.27
0.2	-0.94
0.3	-1.39
0.4	-1.19
0	0
0.1	-0.27
0.2	-1.01
0.3	-1.4
0.4	-1.19
0	0
0.1	-0.27
0.2	-0.95
0.3	-1.39
0.4	-1.19
0	0
0.1	-0.27
0.2	-0.94
0.3	-1.4
0.4	-1.19
0	0
0.1	-0.27
0.2	-0.94
0.3	-1.39
0.4	-1.19
0	0
0.1	-0.33
0.2	-1.01
0.3	-1.4
0.4	-1.13
0	0
0.1	-0.31
0.2	-0.87
0.3	-1.29
0.4	-1.2
0.5	-0.57
0	0
0.1	-0.28
0.2	-0.86
0.3	-1.2
0.4	-1.17
0.5	-0.73
0	0
0.1	-0.28
0.2	-0.87
0.3	-1.2
0.4	-1.14
0.5	-0.66
0	0
0.1	-0.21
0.2	-0.65
0.3	-0.9
0.4	-0.9
0.5	-0.89
0.6	-0.59
0	0
0.1	-0.17
0.2	-0.65
0.3	-0.89
0.4	-0.9
0.5	-0.9
0.6	-0.64
0	0
0.1	-0.11
0.2	-0.4
0.3	-0.59
0.4	-0.6
0.5	-0.6
0.6	-0.6
0.7	-0.6
0.8	-0.53
0	0
0.1	-0.11
0.2	-0.4
0.3	-0.59
0.4	-0.6
0.5	-0.6
0.6	-0.6
0.7	-0.6
0.8	-0.53
0	0
0.1	-0.12
0.2	-0.4
0.3	-0.59
0.4	-0.6
0.5	-0.6
0.6	-0.6
0.7	-0.6
0.8	-0.53
0	0
0.1	-0.14
0.2	-0.43
0.3	-0.6
0.4	-0.6
0.5	-0.6
0.6	-0.6
0.7	-0.6
0.8	-0.51
0	0
0.1	-0.25
0.2	-0.94
0.3	-1.3
0.4	-1.16
0.5	-0.57
0	0
0.1	-0.33
0.2	-1.01
0.3	-1.38
0.4	-1.14
0	0
0.1	-0.33
0.2	-1.01
0.3	-1.4
0.4	-1.13
0	0
0.1	-0.33
0.2	-1.01
0.3	-1.4
0.4	-1.13
0.5	-0.54
0	0
0.1	-0.5
0.2	-1.38
0.3	-1
0	0
0.1	-0.5
0.2	-1.38
0.3	-1.01
0	0
0.1	-0.6
0.2	-1.37
0.3	-1.01
0	0
0.1	-0.47
0.2	-1.08
0.3	-1.08
0	0
0.1	-0.4
0.2	-1.05
0.3	-1.07
0	0
0.1	-0.4
0.2	-1.05
0.3	-1.07
0	0
0.1	-0.39
0.2	-1.08
0.3	-1.09
0	0
0.1	-0.39
0.2	-1.08
0.3	-1.09
0	0
0.1	-0.48
0.2	-1.08
0.3	-1.1
0.4	-1.1
0.5	-1.04
0	0
0.1	-0.4
0.2	-1.08
0.3	-1.1
0.4	-1.1
0.5	-1.07
0	0
0.1	-0.47
0.2	-1.08
0.3	-1.1
0.4	-1.1
0.5	-1.04
0	0
0.1	-0.39
0.2	-1.08
0.3	-1.1
0.4	-1.1
0.5	-1.04
0	0
0.1	-0.48
0.2	-1.08
0.3	-1.1
0.4	-1.1
0.5	-1.04
0	0
0.1	-0.48
0.2	-1.05
0.3	-1.1
0.4	-1.1
0.5	-1.04
