Time	Velocity
0	0
0.1	0.03
0.2	0.13
0.3	0.31
0.4	0.48
0.5	0.7
0.6	0.92
0.7	1.11
0.8	1.27
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.39
1.8	1.32
1.9	1.18
2	1
2.1	0.77
2.2	0.56
2.3	0.35
2.4	0.18
2.5	0.06
0	-0.01
0.1	-0.06
0.2	-0.23
0.3	-0.49
0.4	-0.81
0.5	-1.11
0.6	-1.31
0.7	-1.4
0.8	-1.35
0.9	-1.19
1	-0.93
1.1	-0.62
1.2	-0.33
1.3	-0.12
1.4	-0.01
0	0
0.1	0.04
0.2	0.14
0.3	0.3
0.4	0.49
0.5	0.71
0.6	0.93
0.7	1.12
0.8	1.27
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.4
1.8	1.4
1.9	1.4
2	1.4
2.1	1.4
2.2	1.4
2.3	1.4
2.4	1.4
2.5	1.4
2.6	1.4
2.7	1.4
2.8	1.4
2.9	1.4
3	1.4
3.1	1.4
3.2	1.4
3.3	1.4
3.4	1.4
3.5	1.4
3.6	1.4
3.7	1.4
3.8	1.4
3.9	1.4
4	1.4
4.1	1.38
4.2	1.3
4.3	1.15
4.4	0.96
4.5	0.75
4.6	0.51
4.7	0.33
4.8	0.16
4.9	0.05
