Time	Velocity
0	0
0.1	0.04
0.2	0.15
0.3	0.31
0.4	0.5
0.5	0.72
0.6	0.92
0.7	1.12
0.8	1.27
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.4
1.8	1.4
1.9	1.4
2	1.4
2.1	1.4
2.2	1.4
2.3	1.4
2.4	1.4
2.5	1.4
2.6	1.4
2.7	1.4
2.8	1.4
2.9	1.4
3	1.4
3.1	1.4
3.2	1.4
3.3	1.4
3.4	1.4
3.5	1.4
3.6	1.4
3.7	1.4
3.8	1.4
3.9	1.4
4	1.4
4.1	1.38
4.2	1.29
4.3	1.15
4.4	0.96
4.5	0.75
4.6	0.53
4.7	0.33
4.8	0.17
4.9	0.05
0	0
0.1	0.04
0.2	0.15
0.3	0.31
0.4	0.5
0.5	0.72
0.6	0.94
0.7	1.13
0.8	1.28
0.9	1.37
1	1.4
1.1	1.4
1.2	1.4
1.3	1.4
1.4	1.4
1.5	1.4
1.6	1.4
1.7	1.4
1.8	1.4
1.9	1.39
2	1.33
2.1	1.2
2.2	1.03
2.3	0.82
2.4	0.6
2.5	0.39
2.6	0.21
2.7	0.08
2.8	0.01
0	-0.01
0.1	-0.05
0.2	-0.23
0.3	-0.52
0.4	-0.83
0.5	-1.11
0.6	-1.31
0.7	-1.4
0.8	-1.35
0.9	-1.17
1	-0.91
1.1	-0.6
1.2	-0.32
1.3	-0.11
