"","Participant","Trial","View","Botime"
"1",1,1,"V",NA
"2",1,1,"H",NA
"3",1,2,"V",NA
"4",1,2,"H",NA
"5",1,3,"V",NA
"6",1,3,"H",NA
"7",1,4,"V",NA
"8",1,4,"H",NA
"9",1,5,"V",NA
"10",1,5,"H",NA
"11",2,1,"V",NA
"12",2,1,"H",NA
"13",2,2,"V",NA
"14",2,2,"H",NA
"15",2,3,"V",NA
"16",2,3,"H",NA
"17",2,4,"V",NA
"18",2,4,"H",NA
"19",2,5,"V",NA
"20",2,5,"H",NA
"21",3,1,"V",0.8
"22",3,1,"H",0.3
"23",3,2,"V",0.8
"24",3,2,"H",1.1
"25",3,3,"V",0.5
"26",3,3,"H",0.6
"27",3,4,"V",0.7
"28",3,4,"H",0.7
"29",3,5,"V",0.4
"30",3,5,"H",0.5
"31",4,1,"V",1.7
"32",4,1,"H",2
"33",4,2,"V",1.6
"34",4,2,"H",2.3
"35",4,3,"V",1.4
"36",4,3,"H",1.2
"37",4,4,"V",1.2
"38",4,4,"H",1.2
"39",4,5,"V",1.6
"40",4,5,"H",1.6
"41",5,1,"V",1.2
"42",5,1,"H",1.4
"43",5,2,"V",1.2
"44",5,2,"H",1.4
"45",5,3,"V",1
"46",5,3,"H",0.9
"47",5,4,"V",1
"48",5,4,"H",1
"49",5,5,"V",1
"50",5,5,"H",1
"51",6,1,"V",0.4
"52",6,1,"H",0.2
"53",6,2,"V",0.6
"54",6,2,"H",0.4
"55",6,3,"V",0.4
"56",6,3,"H",0.4
"57",6,4,"V",0.6
"58",6,4,"H",0.4
"59",6,5,"V",0.4
"60",6,5,"H",0.4
"61",7,1,"V",0.6
"62",7,1,"H",0.5
"63",7,2,"V",1.4
"64",7,2,"H",1.4
"65",7,3,"V",0.8
"66",7,3,"H",1
"67",7,4,"V",0.7
"68",7,4,"H",0.6
"69",7,5,"V",0.3
"70",7,5,"H",0.3
"71",8,1,"V",0.6
"72",8,1,"H",0.6
"73",8,2,"V",0.2
"74",8,2,"H",0.2
"75",8,3,"V",0.4
"76",8,3,"H",0.4
"77",8,4,"V",0.6
"78",8,4,"H",0.6
"79",8,5,"V",0.8
"80",8,5,"H",0.6
"81",9,1,"V",0.4
"82",9,1,"H",0.4
"83",9,2,"V",0.4
"84",9,2,"H",0.4
"85",9,3,"V",0.4
"86",9,3,"H",0.4
"87",9,4,"V",0.4
"88",9,4,"H",0.4
"89",9,5,"V",0.4
"90",9,5,"H",0.4
"91",10,1,"V",1
"92",10,1,"H",1.2
"93",10,2,"V",0.4
"94",10,2,"H",0.6
"95",10,3,"V",0.5
"96",10,3,"H",0.8
"97",10,4,"V",0.7
"98",10,4,"H",0.6
"99",10,5,"V",0.6
"100",10,5,"H",1
"101",11,1,"V",1.8
"102",11,1,"H",1
"103",11,2,"V",1.1
"104",11,2,"H",1.6
"105",11,3,"V",2.5
"106",11,3,"H",1.8
"107",11,4,"V",1.1
"108",11,4,"H",1.3
"109",11,5,"V",1.2
"110",11,5,"H",1
"111",12,1,"V",1.1
"112",12,1,"H",1.8
"113",12,2,"V",1.4
"114",12,2,"H",1.2
"115",12,3,"V",1
"116",12,3,"H",1.2
"117",12,4,"V",0.7
"118",12,4,"H",1
"119",12,5,"V",1.2
"120",12,5,"H",1
"121",13,1,"V",0.9
"122",13,1,"H",0.8
"123",13,2,"V",1.3
"124",13,2,"H",1
"125",13,3,"V",0.8
"126",13,3,"H",0.6
"127",13,4,"V",0.8
"128",13,4,"H",0.6
"129",13,5,"V",0.6
"130",13,5,"H",0.8
"131",14,1,"V",0.7
"132",14,1,"H",0.8
"133",14,2,"V",0.4
"134",14,2,"H",0.8
"135",14,3,"V",1
"136",14,3,"H",0.7
"137",14,4,"V",0.9
"138",14,4,"H",0.8
"139",14,5,"V",0.7
"140",14,5,"H",1
"141",15,1,"V",1.3
"142",15,1,"H",1.9
"143",15,2,"V",1.4
"144",15,2,"H",1.8
"145",15,3,"V",1.2
"146",15,3,"H",1.5
"147",15,4,"V",1.4
"148",15,4,"H",1.2
"149",15,5,"V",1.9
"150",15,5,"H",1.2
"151",16,1,"V",0.5
"152",16,1,"H",NA
"153",16,2,"V",1.2
"154",16,2,"H",1.4
"155",16,3,"V",1.3
"156",16,3,"H",1.5
"157",16,4,"V",1.1
"158",16,4,"H",1.2
"159",16,5,"V",0.6
"160",16,5,"H",0.8
"161",17,1,"V",1.3
"162",17,1,"H",1.4
"163",17,2,"V",1.6
"164",17,2,"H",1.7
"165",17,3,"V",1.2
"166",17,3,"H",1.1
"167",17,4,"V",1.3
"168",17,4,"H",1
"169",17,5,"V",1.1
"170",17,5,"H",1
"171",18,1,"V",1
"172",18,1,"H",1.2
"173",18,2,"V",1.1
"174",18,2,"H",1.2
"175",18,3,"V",1.1
"176",18,3,"H",1.2
"177",18,4,"V",0.9
"178",18,4,"H",1.2
"179",18,5,"V",1.2
"180",18,5,"H",1.1
"181",19,1,"V",0.2
"182",19,1,"H",0.4
"183",19,2,"V",0.4
"184",19,2,"H",0.4
"185",19,3,"V",0.2
"186",19,3,"H",0.2
"187",19,4,"V",0.4
"188",19,4,"H",0.6
"189",19,5,"V",0.4
"190",19,5,"H",0.4
"191",20,1,"V",0.6
"192",20,1,"H",0.8
"193",20,2,"V",0.4
"194",20,2,"H",0.6
"195",20,3,"V",0.8
"196",20,3,"H",0.6
"197",20,4,"V",0.4
"198",20,4,"H",0.4
"199",20,5,"V",0.6
"200",20,5,"H",0.6
"201",21,1,"V",0.8
"202",21,1,"H",0.7
"203",21,2,"V",0.8
"204",21,2,"H",1.1
"205",21,3,"V",0.9
"206",21,3,"H",0.7
"207",21,4,"V",0.7
"208",21,4,"H",0.7
"209",21,5,"V",0.9
"210",21,5,"H",0.7
"211",22,1,"V",0.6
"212",22,1,"H",1
"213",22,2,"V",0.9
"214",22,2,"H",1
"215",22,3,"V",0.7
"216",22,3,"H",0.6
"217",22,4,"V",0.7
"218",22,4,"H",0.8
"219",22,5,"V",0.7
"220",22,5,"H",0.7
"221",23,1,"V",0.8
"222",23,1,"H",0.8
"223",23,2,"V",1.4
"224",23,2,"H",1.6
"225",23,3,"V",1.4
"226",23,3,"H",1.7
"227",23,4,"V",1.3
"228",23,4,"H",1
"229",23,5,"V",1
"230",23,5,"H",1
"231",24,1,"V",1.7
"232",24,1,"H",1.3
"233",24,2,"V",1.2
"234",24,2,"H",1.1
"235",24,3,"V",0.8
"236",24,3,"H",1
"237",24,4,"V",1
"238",24,4,"H",1
"239",24,5,"V",1.2
"240",24,5,"H",1.2
"241",25,1,"V",0.8
"242",25,1,"H",0.8
"243",25,2,"V",0.8
"244",25,2,"H",0.8
"245",25,3,"V",0.8
"246",25,3,"H",0.8
"247",25,4,"V",0.6
"248",25,4,"H",0.6
"249",25,5,"V",0.6
"250",25,5,"H",0.8
"251",26,1,"V",1
"252",26,1,"H",1.5
"253",26,2,"V",0.8
"254",26,2,"H",1
"255",26,3,"V",0.6
"256",26,3,"H",0.6
"257",26,4,"V",0.8
"258",26,4,"H",1
"259",26,5,"V",0.8
"260",26,5,"H",0.6
"261",27,1,"V",1.2
"262",27,1,"H",0.7
"263",27,2,"V",0.6
"264",27,2,"H",0.6
"265",27,3,"V",0.7
"266",27,3,"H",0.7
"267",27,4,"V",0.9
"268",27,4,"H",0.8
"269",27,5,"V",0.8
"270",27,5,"H",0.7
"271",28,1,"V",0.9
"272",28,1,"H",1.1
"273",28,2,"V",1.4
"274",28,2,"H",1.2
"275",28,3,"V",1
"276",28,3,"H",1
"277",28,4,"V",1.1
"278",28,4,"H",1.1
"279",28,5,"V",1.2
"280",28,5,"H",1.4
"281",29,1,"V",1.5
"282",29,1,"H",1.1
"283",29,2,"V",0.7
"284",29,2,"H",0.6
"285",29,3,"V",1.1
"286",29,3,"H",0.8
"287",29,4,"V",0.7
"288",29,4,"H",0.9
"289",29,5,"V",0.8
"290",29,5,"H",0.8
"291",30,1,"V",1.3
"292",30,1,"H",1.4
"293",30,2,"V",1.4
"294",30,2,"H",1.4
"295",30,3,"V",1
"296",30,3,"H",0.8
"297",30,4,"V",1
"298",30,4,"H",1.2
"299",30,5,"V",1.2
"300",30,5,"H",1.6
"301",31,1,"V",1
"302",31,1,"H",1.1
"303",31,2,"V",1.2
"304",31,2,"H",1.4
"305",31,3,"V",0.6
"306",31,3,"H",0.6
"307",31,4,"V",1
"308",31,4,"H",0.6
"309",31,5,"V",0.5
"310",31,5,"H",0.6
"311",32,1,"V",0.8
"312",32,1,"H",1
"313",32,2,"V",0.8
"314",32,2,"H",1
"315",32,3,"V",2.4
"316",32,3,"H",2.1
"317",32,4,"V",0.6
"318",32,4,"H",0.6
"319",32,5,"V",1.6
"320",32,5,"H",1.4
"321",33,1,"V",2.1
"322",33,1,"H",2.2
"323",33,2,"V",2.3
"324",33,2,"H",2.1
"325",33,3,"V",1.5
"326",33,3,"H",1.8
"327",33,4,"V",2.3
"328",33,4,"H",2.4
"329",33,5,"V",2.4
"330",33,5,"H",2.6
"331",34,1,"V",1
"332",34,1,"H",1.2
"333",34,2,"V",1.9
"334",34,2,"H",1.2
"335",34,3,"V",1.8
"336",34,3,"H",1.6
"337",34,4,"V",2
"338",34,4,"H",1.4
"339",34,5,"V",2.2
"340",34,5,"H",1.8
"341",35,1,"V",0.7
"342",35,1,"H",0.7
"343",35,2,"V",0.8
"344",35,2,"H",0.8
"345",35,3,"V",0.8
"346",35,3,"H",0.6
"347",35,4,"V",0.8
"348",35,4,"H",0.8
"349",35,5,"V",0.8
"350",35,5,"H",0.8
"351",36,1,"V",1.2
"352",36,1,"H",1.1
"353",36,2,"V",0.5
"354",36,2,"H",1.3
"355",36,3,"V",1
"356",36,3,"H",1.3
"357",36,4,"V",0.6
"358",36,4,"H",1.1
"359",36,5,"V",1
"360",36,5,"H",1
"361",37,1,"V",3.7
"362",37,1,"H",4.4
"363",37,2,"V",2.8
