Robotclass,Order,Length,Width,Height
XS/1,1,0.175,0.13,0.15
XS/3,2,0.196,0.1456,0.168
XS/5,3,0.217,0.1612,0.186
XS/7,4,0.238,0.1768,0.204
XS/9,5,0.259,0.1924,0.222
XS/11,6,0.28,0.208,0.24
XS/13,7,0.301,0.2236,0.258
XS/15,8,0.322,0.2392,0.276
XS/17,9,0.343,0.2548,0.294
XS/19,10,0.364,0.2704,0.312
S/1,11,0.385,0.286,0.33
S/3,12,0.406,0.3016,0.348
S/5,13,0.427,0.3172,0.366
S/7,14,0.448,0.3328,0.384
S/9,15,0.469,0.3484,0.402
S/11,16,0.49,0.364,0.42
S/13,17,0.511,0.3796,0.438
S/15,18,0.532,0.3952,0.456
S/17,19,0.553,0.4108,0.474
S/19,20,0.574,0.4264,0.492
M/1,21,0.595,0.442,0.51
M/3,22,0.616,0.4576,0.528
M/5,23,0.637,0.4732,0.546
M/7,24,0.658,0.4888,0.564
M/9,25,0.679,0.5044,0.582
M/11,26,0.7,0.52,0.6
M/13,27,0.721,0.5356,0.618
M/15,28,0.742,0.5512,0.636
M/17,29,0.763,0.5668,0.654
M/19,30,0.784,0.5824,0.672
L/1,31,0.805,0.598,0.69
L/3,32,0.826,0.6136,0.708
L/5,33,0.847,0.6292,0.726
L/7,34,0.868,0.6448,0.744
L/9,35,0.889,0.6604,0.762
L/11,36,0.91,0.676,0.78
L/13,37,0.931,0.6916,0.798
L/15,38,0.952,0.7072,0.816
L/17,39,0.973,0.7228,0.834
L/19,40,0.994,0.7384,0.852
XL/1,41,1.015,0.754,0.87
XL/3,42,1.036,0.7696,0.888
XL/5,43,1.057,0.7852,0.906
XL/7,44,1.078,0.8008,0.924
XL/9,45,1.099,0.8164,0.942
XL/11,46,1.12,0.832,0.96
XL/13,47,1.141,0.8476,0.978
XL/15,48,1.162,0.8632,0.996
XL/17,49,1.183,0.8788,1.014
XL/19,50,1.204,0.8944,1.032
